time_ut,jr_max,mlat_at_max,jr_min,mlat_at_min
2025-05-10T00:00:00Z,0.9823,68.35,-0.8584,63.70
2025-05-10T00:10:00Z,0.9823,68.94,-0.6637,63.89
2025-05-10T00:20:00Z,0.9823,69.91,-0.6283,61.56
2025-05-10T00:30:00Z,0.9823,70.87,-0.6637,61.18
2025-05-10T00:40:00Z,0.9469,70.87,-0.3805,75.53
2025-05-10T00:50:00Z,0.9823,71.26,-0.3805,76.50
2025-05-10T01:00:00Z,0.6283,73.98,-0.5575,78.25
2025-05-10T01:10:00Z,0.3628,74.95,-0.5221,67.00
2025-05-10T01:20:00Z,0.3982,74.75,-0.5575,79.99
2025-05-10T01:30:00Z,0.6283,74.95,-0.6637,79.22
2025-05-10T01:40:00Z,0.7699,74.95,-0.4867,80.38
2025-05-10T01:50:00Z,0.5044,75.53,-0.4513,79.99
2025-05-10T02:00:00Z,0.5044,75.72,-0.6637,79.99
2025-05-10T02:10:00Z,0.9823,75.14,-0.5929,80.96
2025-05-10T02:20:00Z,0.9823,74.37,-0.7522,68.94
2025-05-10T02:30:00Z,0.9823,72.43,-0.7522,67.19
2025-05-10T02:40:00Z,0.9469,71.84,-0.6283,67.00
2025-05-10T02:50:00Z,0.9823,71.07,-0.7876,65.83
2025-05-10T03:00:00Z,0.9823,70.29,-0.7168,65.64
2025-05-10T03:10:00Z,0.9823,70.49,-0.9292,65.64
2025-05-10T03:20:00Z,0.9823,71.07,-0.9292,65.83
2025-05-10T03:30:00Z,0.9823,70.29,-0.7876,64.86
2025-05-10T03:40:00Z,0.9823,70.68,-0.6283,65.06
2025-05-10T03:50:00Z,0.9823,70.87,-0.4513,61.18
2025-05-10T04:00:00Z,0.9823,71.07,-0.6283,66.03
2025-05-10T04:10:00Z,0.9823,71.26,-0.4867,66.80
2025-05-10T04:20:00Z,0.9823,71.07,-0.6637,66.80
2025-05-10T04:30:00Z,0.8407,71.07,-0.5221,67.00
2025-05-10T04:40:00Z,0.9823,71.65,-0.5929,67.00
2025-05-10T04:50:00Z,0.9823,72.04,-0.5929,67.19
2025-05-10T05:00:00Z,0.9823,73.01,-0.6637,76.11
2025-05-10T05:10:00Z,0.8761,73.01,-0.6991,77.47
2025-05-10T05:20:00Z,0.8407,73.98,-0.6637,78.25
2025-05-10T05:30:00Z,0.6991,74.56,-0.6637,78.83
2025-05-10T05:40:00Z,0.7699,75.14,-0.6283,79.60
2025-05-10T05:50:00Z,0.4690,75.92,-0.6283,79.99
2025-05-10T06:00:00Z,0.5398,76.11,-0.4159,80.19
2025-05-10T06:10:00Z,0.4336,76.89,-0.3097,80.96
2025-05-10T06:20:00Z,0.6106,76.11,-0.3805,80.77
2025-05-10T06:30:00Z,0.5398,76.11,-0.4513,80.57
2025-05-10T06:40:00Z,0.7345,76.89,-0.4513,81.35
2025-05-10T06:50:00Z,0.6637,76.89,-0.4159,83.10
2025-05-10T07:00:00Z,0.5398,76.89,-0.3805,84.65
2025-05-10T07:10:00Z,0.5752,76.89,-0.3805,72.04
2025-05-10T07:20:00Z,0.5044,76.89,-0.3451,84.65
